
%NQSII(INFO): ------- Output from job:0000 -------
     196.072s 0000 Spinup Function norm 4.328962677595e+01
     196.117s 0001 Spinup Function norm 2.228472721859e+01
     196.111s 0002 Spinup Function norm 1.286500993446e+01
      75.708s 0000 Spinup Function norm 4.328962677595e+01
      75.706s 0001 Spinup Function norm 2.228472721859e+01
      75.702s 0002 Spinup Function norm 1.286500993446e+01
      55.067s 0000 Spinup Function norm 4.328962677595e+01
      55.055s 0001 Spinup Function norm 2.228472721859e+01
      55.051s 0002 Spinup Function norm 1.286500993446e+01
      40.783s 0000 Spinup Function norm 4.328962677595e+01
      40.779s 0001 Spinup Function norm 2.228472721859e+01
      40.775s 0002 Spinup Function norm 1.286500993446e+01
      38.150s 0000 Spinup Function norm 4.328962677595e+01
      38.163s 0001 Spinup Function norm 2.228472721859e+01
      38.164s 0002 Spinup Function norm 1.286500993446e+01
      35.164s 0000 Spinup Function norm 4.328962677595e+01
      35.159s 0001 Spinup Function norm 2.228472721859e+01
      35.157s 0002 Spinup Function norm 1.286500993446e+01
      30.152s 0000 Spinup Function norm 4.328962677595e+01
      30.154s 0001 Spinup Function norm 2.228472721859e+01
      30.149s 0002 Spinup Function norm 1.286500993446e+01
      26.249s 0000 Spinup Function norm 4.328962677595e+01
      26.243s 0001 Spinup Function norm 2.228472721859e+01
      26.220s 0002 Spinup Function norm 1.286500993446e+01
      26.892s 0000 Spinup Function norm 4.328962677595e+01
      26.898s 0001 Spinup Function norm 2.228472721859e+01
      26.892s 0002 Spinup Function norm 1.286500993446e+01
      23.877s 0000 Spinup Function norm 4.328962677595e+01
      23.878s 0001 Spinup Function norm 2.228472721859e+01
      23.878s 0002 Spinup Function norm 1.286500993446e+01
      25.066s 0000 Spinup Function norm 4.328962677595e+01
      25.066s 0001 Spinup Function norm 2.228472721859e+01
      24.952s 0002 Spinup Function norm 1.286500993446e+01
      21.871s 0000 Spinup Function norm 4.328962677595e+01
      21.930s 0001 Spinup Function norm 2.228472721859e+01
      21.936s 0002 Spinup Function norm 1.286500993446e+01
      23.861s 0000 Spinup Function norm 4.328962677595e+01
      23.860s 0001 Spinup Function norm 2.228472721859e+01
      23.843s 0002 Spinup Function norm 1.286500993446e+01
      21.692s 0000 Spinup Function norm 4.328962677595e+01
      21.694s 0001 Spinup Function norm 2.228472721859e+01
      21.695s 0002 Spinup Function norm 1.286500993446e+01
      22.847s 0000 Spinup Function norm 4.328962677595e+01
      22.853s 0001 Spinup Function norm 2.228472721859e+01
      22.853s 0002 Spinup Function norm 1.286500993446e+01
      21.127s 0000 Spinup Function norm 4.328962677595e+01
      21.131s 0001 Spinup Function norm 2.228472721859e+01
      21.127s 0002 Spinup Function norm 1.286500993446e+01
      19.521s 0000 Spinup Function norm 4.328962677595e+01
      19.535s 0001 Spinup Function norm 2.228472721859e+01
      19.517s 0002 Spinup Function norm 1.286500993446e+01
      18.289s 0000 Spinup Function norm 4.328962677595e+01
      18.016s 0001 Spinup Function norm 2.228472721859e+01
      18.050s 0002 Spinup Function norm 1.286500993446e+01
      16.426s 0000 Spinup Function norm 4.328962677595e+01
      16.321s 0001 Spinup Function norm 2.228472721859e+01
      16.367s 0002 Spinup Function norm 1.286500993446e+01
      15.466s 0000 Spinup Function norm 4.328962677595e+01
      15.460s 0001 Spinup Function norm 2.228472721859e+01
      15.464s 0002 Spinup Function norm 1.286500993446e+01
      14.321s 0000 Spinup Function norm 4.328962677595e+01
      14.273s 0001 Spinup Function norm 2.228472721859e+01
      14.274s 0002 Spinup Function norm 1.286500993446e+01
      13.669s 0000 Spinup Function norm 4.328962677595e+01
      13.668s 0001 Spinup Function norm 2.228472721859e+01
      13.668s 0002 Spinup Function norm 1.286500993446e+01
      12.410s 0000 Spinup Function norm 4.328962677595e+01
      12.383s 0001 Spinup Function norm 2.228472721859e+01
      12.446s 0002 Spinup Function norm 1.286500993446e+01
      11.843s 0000 Spinup Function norm 4.328962677595e+01
      11.850s 0001 Spinup Function norm 2.228472721859e+01
      11.848s 0002 Spinup Function norm 1.286500993446e+01
      11.270s 0000 Spinup Function norm 4.328962677595e+01
      11.270s 0001 Spinup Function norm 2.228472721859e+01
      11.280s 0002 Spinup Function norm 1.286500993446e+01
      10.453s 0000 Spinup Function norm 4.328962677595e+01
      10.446s 0001 Spinup Function norm 2.228472721859e+01
      10.444s 0002 Spinup Function norm 1.286500993446e+01
       9.934s 0000 Spinup Function norm 4.328962677595e+01
       9.934s 0001 Spinup Function norm 2.228472721859e+01
       9.862s 0002 Spinup Function norm 1.286500993446e+01
       9.339s 0000 Spinup Function norm 4.328962677595e+01
       9.326s 0001 Spinup Function norm 2.228472721859e+01
       9.234s 0002 Spinup Function norm 1.286500993446e+01
       8.834s 0000 Spinup Function norm 4.328962677595e+01
       8.841s 0001 Spinup Function norm 2.228472721859e+01
       8.867s 0002 Spinup Function norm 1.286500993446e+01
       8.218s 0000 Spinup Function norm 4.328962677595e+01
       8.216s 0001 Spinup Function norm 2.228472721859e+01
       8.217s 0002 Spinup Function norm 1.286500993446e+01
       7.981s 0000 Spinup Function norm 4.328962677595e+01
       7.976s 0001 Spinup Function norm 2.228472721859e+01
       7.979s 0002 Spinup Function norm 1.286500993446e+01
       7.370s 0000 Spinup Function norm 4.328962677595e+01
       7.354s 0001 Spinup Function norm 2.228472721859e+01
       7.368s 0002 Spinup Function norm 1.286500993446e+01
       7.218s 0000 Spinup Function norm 4.328962677595e+01
       7.220s 0001 Spinup Function norm 2.228472721859e+01
       7.218s 0002 Spinup Function norm 1.286500993446e+01
       6.742s 0000 Spinup Function norm 4.328962677595e+01
       6.673s 0001 Spinup Function norm 2.228472721859e+01
       6.678s 0002 Spinup Function norm 1.286500993446e+01
       6.448s 0000 Spinup Function norm 4.328962677595e+01
       6.450s 0001 Spinup Function norm 2.228472721859e+01
       6.445s 0002 Spinup Function norm 1.286500993446e+01
       6.447s 0000 Spinup Function norm 4.328962677595e+01
       6.433s 0001 Spinup Function norm 2.228472721859e+01
       6.425s 0002 Spinup Function norm 1.286500993446e+01
       5.820s 0000 Spinup Function norm 4.328962677595e+01
       5.818s 0001 Spinup Function norm 2.228472721859e+01
       5.821s 0002 Spinup Function norm 1.286500993446e+01
       5.613s 0000 Spinup Function norm 4.328962677595e+01
       5.613s 0001 Spinup Function norm 2.228472721859e+01
       5.616s 0002 Spinup Function norm 1.286500993446e+01
       5.524s 0000 Spinup Function norm 4.328962677595e+01
       5.534s 0001 Spinup Function norm 2.228472721859e+01
       5.527s 0002 Spinup Function norm 1.286500993446e+01
       5.245s 0000 Spinup Function norm 4.328962677595e+01
       5.180s 0001 Spinup Function norm 2.228472721859e+01
